Year,Month,NPBE,Orders,total_users,active_users,total_sessions
2024,4,17490590.7,108757,106767,0,0
2024,5,18686899.79,111794,109765,0,0
2024,6,21101719.01,119456,117154,0,0
2024,7,16645765.54,103492,1261453,875062,1450459
2024,8,17006349.36,101159,2080999,1484383,2472490
2024,9,17623831.47,99822,2089397,1380382,2479529
2024,10,22684807.2841216,110378,2389266,1688980,2848354
2024,11,38813967.9874937,149072,3067539,2377458,3731621
2024,12,119682542.592023,382787,4982843,3768756,6184173
2025,1,39731149.5338834,177307,3664135,2789993,4450418
2025,2,28736418.4656028,136586,2386545,1872835,2906062
2025,3,41587707.0867554,174280,2522969,2000673,3111811
2025,4,24216779.9841163,118771,1913977,1522653,2340711
2025,5,25250486.2706864,121235,2106544,1605252,2530449
2025,6,27485870.6636475,128173,1989561,1563691,2413171
2025,7,24017213.5896802,115687,2081578,1662834,2493411
2025,8,23790824.1736034,111597,1899427,1491760,2294546
2025,9,23692882.2912194,110343,1899975,1512168,2304657
2025,10,28133544.1031922,121367,2804724,2100663,3332360
2025,11,46195186.8064279,170010,3358759,2593054,4072409
2025,12,138412228.949807,425264,6034367,4396661,7395051
2026,1,48720079.0308925,192019,4276887,3100971,5130351
2026,2,33089853.1344341,147445,3196997,2307061,3786962
2026,3,47126992.7201038,194173,4612830,3169488,5383719
2026,4,27120956.2482636,130882,3033357,2141013,3539931
2026,5,26789586.4907896,129723,3380427,2333216,3891310
2026,6,29008931.1034493,140215,2887745,2288897,3376226
2026,7,21076487.0855921,112863,2312011,1843541,2711920
2026,8,1775745.34905725,10942,75183,64643,95190
