Year,Month,NPBE,Orders,total_users,active_users,total_sessions
2024,7,8982629.30000001,57442,1393890,955563,1432246
2024,8,15369627.37,95700,2374184,1619559,2439076
2024,9,15964426.56,95072,2373513,1509280,2441681
2024,10,17758124.36,98632,2737607,1848471,2825434
2024,11,29224328.0299999,128289,3574412,2644118,3704776
2024,12,91901374.1899996,319979,5905212,4303219,6114265
2025,1,27012921.0199998,148333,4259978,3109416,4369425
2025,2,20881640.4699999,120028,2780368,2083572,2888011
2025,3,29440447.3699998,152070,2968126,2245134,3091124
2025,4,17066722.9999999,105957,2239922,1698349,2326658
2025,5,17612679.4599999,109681,2427937,1779820,2486282
2025,6,19655022.8499999,114256,2311892,1743780,2386784
2025,7,16140550.51,101609,2393321,1836875,2422951
2025,8,15879221.10155,96115,2197610,1658069,2250285
2025,9,16620048.61,97169,2204496,1680861,2269514
2025,10,19115786.94,103341,3198109,2314872,3266722
2025,11,32822469.7746418,140734,3898553,2880144,3989763
2025,12,105949323.89,354663,7033133,4979838,7151929
2026,1,30773544.5599998,155920,4903429,3439827,5013369
2026,2,22476643.6399999,124277,3619181,2532167,3684313
2026,3,32465919.5099998,161580,5093108,3435321,5022514
2026,4,19123188.1199999,111654,3375206,2326843,3396563
2026,5,20096552.5499999,112964,3718799,2517439,3684902
2026,6,22560469.1799999,120697,3237775,2502385,3279763
2026,7,16319778.73,96907,2598062,2025928,2645937
2026,8,1429503.12,9335,89357,74849,94849
