Year,Month,NPBE,Orders,total_users,active_users,total_sessions
2024,1,27513681.4764611,151308,147127,0,0
2024,2,22037779.66,126485,124149,0,0
2024,3,31168899.0300001,158120,154699,0,0
2024,4,17504109.4,108855,106863,0,0
2024,5,18708501.31,111909,109876,0,0
2024,6,21123542.04,119588,117281,0,0
2024,7,16661950.62,103572,1261525,875080,1450521
2024,8,17011626.28,101181,2081036,1484411,2472549
2024,9,17626502.07,99842,2089433,1380409,2479570
2024,10,22686297.8941216,110384,2389302,1689004,2848396
2024,11,38816870.1427188,149085,3067584,2377487,3731666
2024,12,119692600.189438,382817,4982928,3768818,6184276
2025,1,39737764.8547912,177330,3664241,2790076,4450551
2025,2,28738656.8556029,136596,2386589,1872874,2906123
2025,3,41591661.2585018,174303,2523048,2000738,3111894
2025,4,24219565.2315432,118784,1914043,1522706,2340783
2025,5,25253521.7942042,121249,2106617,1605307,2530538
2025,6,27491188.4478369,128191,1989658,1563765,2413273
2025,7,24022064.2066978,115707,2081697,1662935,2493546
2025,8,23793270.3636034,111606,1899538,1491857,2294660
2025,9,23695731.6858453,110356,1900076,1512248,2304763
2025,10,28136663.4031922,121382,2804892,2100811,3332569
2025,11,46204713.0109763,170032,3359050,2593310,4072749
2025,12,138422735.651886,425289,6034725,4396964,7395492
2026,1,48725532.8543353,192038,4277288,3101325,5130814
2026,2,33091199.4244342,147458,3197364,2307384,3787399
2026,3,47142035.1392915,194209,4613354,3169931,5384336
2026,4,27126637.4644979,130902,3033962,2141541,3540631
2026,5,26799525.0569931,129776,3381763,2334367,3892939
2026,6,29162269.4064463,140590,2891112,2291693,3380133
2026,7,17403812.9261666,92784,2169183,1721459,2526976
