Year,Month,NPBE,Orders,total_users,active_users,total_sessions
2024,7,8982926.11,57445,1393902,955573,1430410
2024,8,15370415.96,95708,2374221,1619590,2436282
2024,9,15965179.21,95080,2373542,1509306,2438464
2024,10,17758343.1499999,98635,2737644,1848497,2823392
2024,11,29225129.1199999,128295,3574455,2644150,3701269
2024,12,91905447.12,319992,5905300,4303289,6100384
2025,1,27014150.8699998,148339,4260096,3109510,4364123
2025,2,20882687.2699999,120032,2780424,2083620,2885730
2025,3,29441555.7899998,152083,2968203,2245202,3088318
2025,4,17067177.9999999,105962,2239994,1698408,2325142
2025,5,17613049.2499999,109684,2428007,1779875,2484771
2025,6,19655396.1999999,114259,2311985,1743859,2385302
2025,7,16140961.1799999,101615,2393431,1836973,2421115
2025,8,15879372.03155,96116,2197722,1658167,2249098
2025,9,16620383.3499999,97172,2204594,1680944,2267855
2025,10,19116944.1599999,103348,3198300,2315036,3263278
2025,11,32828602.7346418,140747,3898885,2880427,3984412
2025,12,105956495.76,354676,7033546,4980175,7098940
2026,1,30775288.1499998,155929,4903881,3440215,4999959
2026,2,22477715.0599999,124287,3619603,2532513,3679420
2026,3,32468117.2599998,161590,5093691,3435809,5003854
2026,4,19125571.6799999,111664,3375879,2327400,3391637
2026,5,20102947.3799999,113007,3720372,2518718,3680719
2026,6,22596686.5699999,120774,3241511,2505577,3279452
2026,7,13509750.99,79888,2426274,1883278,2458775
